title;published_date;author;description;price;weeks_on_list
RAWHIDE DOWN;2011-04-17;Del Quentin Wilber;An account of the assassination attempt on President Ronald Reagan in 1981.;nan;3
RAYMIE NIGHTINGALE;2016-05-01;Kate DiCamillo;nan;nan;5
RAZOR GIRL;2016-09-25;Carl Hiaasen;The ex-cop Andrew Yancy​ from ​“Bad Monkey” gets involved in a kidnapping gone wrong.;nan;3
READY OR NOT!;2017-08-20;Michelle Tam and Henry Fong;nan;nan;1
READY PLAYER ONE;2015-12-20;Ernest Cline;It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.;nan;56
READY TO RUN;2014-11-02;Kelly Starrett with T J Murphy;nan;nan;0
REAL;2013-05-05;Katy Evans;Remington Tate, the star of the dangerous underground fighting circuit, sets a woman’s mind ablaze and her body on fire with wanting.;nan;1
REAL FOOD/FAKE FOOD;2016-08-07;Larry Olmsted;The unregulated (and often counterfeit) food industry and the deceptions that extend to high-end foods like olive oil, wine, coffee, honey, juice and cheese, and how to recognize the authentic craft fare.;nan;0
REAL MARRIAGE;2012-01-22;Mark and Grace Driscoll;A pastor and his wife discuss sex, friendship and marriage.;22.99;1
REALITY-BASED RULES OF THE WORKPLACE;2013-06-02;Cy Wakeman;Rules for becoming a valued employee.;nan;0
REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;2015-02-01;Cynthia L Copeland;A photographic tribute to dogs in motion celebrates lessons of living in the present, such as play, sleep, and scratching where it itches.;nan;0
REAMDE;2011-10-09;Neal Stephenson;A virus invades a multiplayer online role-playing game and sets off a violent struggle.;35.0;1
REAWAKENED;2015-08-30;Colleen Houck;A teenager helps a resurrected Egyptian prince battle an evil god.;nan;1
REBEL OF THE SANDS;2017-01-15;Alwyn Hamilton;nan;nan;1
REBOOTING WORK;2013-02-17;Maynard Webb and Carlye Adler;Using technology to be more successful on the job.;27.95;1
REBOUND;2018-04-22;Kwame Alexander;"A novel told in verse and a prequel to ""The Crossover"".";nan;5
RECKLESS;2010-10-03;Cornelia Funke;Boys and beasts in a dark place called Mirrorworld.;19.99;1
RECKLESS ENDANGERMENT;2011-07-03;Gretchen Morgenson and Joshua Rosner;This account of the Wall Street implosion highlights individuals who played crucial roles of responsibility.;30.0;4
RECKONERS;2016-03-06;Brandon Sanderson;An orphan joins the resistance when the Epics use their superpowers for criminal means.;nan;3
RECLAIMING CONVERSATION;2015-11-01;Sherry Turkle;The cultural and societal trade offs of social technologies that create connections versus face-to-face communication.;nan;0
RED;2011-04-03;Sammy Hagar with Joel Selvin;Hagar tells of his tear through rock, from his first break to his role as the front man of Van Halen.;26.99;3
RED ALERT;2018-04-15;James Patterson and Marshall Karp;The fifth book in the NYPD Red series. Detectives Zach Jordan and Kylie MacDonald investigate the death of a documentary filmmaker and an explosion at a charity benefit.;nan;2
RED HOOD AND THE OUTLAWS, VOL. 1;2012-12-02;Scott Lobdell and Kenneth Rocafort;They used to be Titans: Red Hood, Arsenal and Starfire are a team of outcasts with nothing to lose.;14.99;1
RED HOOD AND THE OUTLAWS, VOL. 2;2013-07-21;Scott Lobdell and Kenneth Rocafort;It is a tumultuous time for the team: on earth, they confront the Court of Owls. In space, they must face Blackfire, the evil sister of Starfire.;nan;1
RED MIST;2011-12-25;Patricia Cornwell;The chief medical examiner Kay Scarpetta investigates a string of killings she believes are linked to the murder of her former deputy.;27.95;4
RED NOTICE;2015-03-01;Bill Browder;nan;nan;2
RED PLATOON;2016-05-22;Clinton Romesha;The deadly 13-hour battle for a remote combat outpost in Afghanistan in 2009, by a soldier who received the Medal of Honor for his role.;nan;1
RED QUEEN;2015-03-01;Victoria Aveyard;A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.;nan;45
RED RIDING HOOD;2011-02-13;Sarah Blakley-Cartwright;Reimagining the fairy tale, with the inclusion of a persistent werewolf.;9.99;10
RED ROBIN: THE HIT LIST;2011-07-24;Fabian Nicieza and Marcus To;He wears red, has a list and is checking it twice: Red Robin targets some villains plaguing Gotham City.;17.99;1
RED SINGS FROM TREETOPS;2010-02-21;Joyce Sidman;The seasons, in colors.;16.0;3
RED SPARROW;2018-03-11;Jason Matthews;A Russian intelligence officer trained in the art of seduction becomes entangled with a young C.I.A. officer.;nan;3
REDEMPTION;2019-05-05;David Baldacci;The fifth book in the Memory Man series. Read by Kyf Brewer and Orlagh Cassidy. 12 hours, 20 minutes unabridged.;nan;6
REDISCOVERING AMERICANISM;2017-07-16;Mark R Levin;The radio host argues that the founding fathers would be shocked by the expansion of modern government.;nan;5
REDWOOD BEND;2012-03-18;Ron Carr;An encounter along a mountain road near Virgin River shakes up the lives of two people: Katie, a single mother, and a sexy biker.;7.99;2
REFINERY29: STYLE STALKING;2014-11-02;Christine Barberich and Piera Gelardi;Wardrobe strategies, ranging from how to wear brights and layers to black and mixed prints.;nan;0
REFLECTED IN YOU;2012-10-21;Sylvia Day;Eva and Gideon, of “Bared to You,” continue to struggle to make their relationship work.;15.0;6
REFUGEE;2018-05-27;Alan Gratz;Three children in three different conflicts look for safe haven.;nan;79
RELENTLESS;2017-12-03;Julian Edelman with Tom E Curran;nan;nan;0
REMAINS OF INNOCENCE;2015-05-17;J A Jance;In Cochise County, Ariz., Sheriff Joanna Brady must solve two seemingly unrelated, perplexing cases.;nan;4
REMEMBERING WHITNEY;2013-02-17;Cissy Houston with Lisa Dickey;The gospel singer discusses her daughter Whitney’s life. ;27.99;1
REMY;2013-12-15;Katy Evans;The intense relationship of Brooke Dumas and the underground circuit fighter Remington Tate seen through Remington’s eyes.;nan;1
RENEGADES;2017-11-26;Marissa Meyer;Teams of super-beings, the Renegades and the Anarchists, clash for control of Gatlon City.;nan;7
REPLICA;2016-10-23;Lauren Oliver;Lyra, an escapee from a secret research facility, joins forces with the entitled Gemma.;nan;1
RESCUE & JESSICA;2018-04-22;Jessica Kensky and Patrick Downes;The relationship between a double amputee and her service dog.;nan;4
RESCUE AMERICA;2011-11-06;Chris Salamone and Gilbert Morris;A call for a renewed spirit of responsibility, gratitude and sacrifice.;15.95;1
RESCUE ROAD;2016-01-03;Peter Zheutlin;The story of Greg Mahle, an Ohio man, and his travels around the country to find permanent homes for abandoned and abused dogs.;nan;0
RESILIENCE;2010-07-18;Elizabeth Edwards;The wife of former Senator John Edwards recounts how she has dealt with the challenges in her life.;15.0;1
RESTART;2019-10-06;Gordon Korman;nan;nan;0
RETRIBUTION;2011-08-21;Sherrilyn Kenyon;Brought back to life by a Greek goddess, the former gunslinger Jess Brady is tasked with finding the creature who’s assassinating Dark-Hunters.;25.99;1
RETURN;2016-08-21;Aaron Becker;The final entry in the Journey series returns readers to an alternate existence with the help of some magical crayons.;nan;1
RETURN OF THE KING;2017-05-07;Brian Windhorst and Dave McMenamin;nan;nan;0
RETURN TO LABYRINTH, VOL. 4;2010-08-22;Jake T Forbes and Chris Lie;This manga series features the further adventures of the characters from the 1986 film “Labyrinth,” directed by Jim Henson. Toby may have returned home at the end of the movie, but now the Goblin King wants him back.;12.99;1
RETURN TO THE ISLE OF THE LOST;2016-06-12;Melissa de la Cruz;nan;nan;15
REVENGE;2016-03-13;Lisa Jackson;Collected in one volume, the author's Love Letters trilogy, about secrets revealed when the head of a town's wealthiest family is murdered.;nan;4
REVENGE WEARS PRADA;2013-06-23;Lauren Weisberger;Andrea Sachs is now running a bridal magazine.;nan;1
REVERSE INNOVATION;2012-05-06;Vijay Govindarajan and Chris Trimble;Why business leaders should know about reverse innovation, and how to make it happen.;30.0;2
REVIVAL;2014-11-30;Stephen King;The continuing relationship over five decades between a disgraced clergyman who is fascinated by electricity and a drug addicted musician whom he mentored as a boy.;nan;7
REVOLT!;2011-03-20;Dick Morris;"A ""patriot’s guide” for opposing the policies of Obama.";26.99;1
REWORK;2010-03-28;Jason Fried and David Heinemeier Hansson;Counterintuitive rules for small-business success, like “Ignore the details early on” and “Good enough is fine.”;22.0;3
RHETT AND LINK'S BOOK OF MYTHICALITY;2017-10-29;Rhett McLaughlin and Link Neal;nan;nan;1
RICH PEOPLE PROBLEMS;2018-09-02;Kevin Kwan;The final book in the Crazy Rich Asians trilogy. Rivalries and jealousies arise among privileged families.;nan;6
RICHARD CASTLE'S DEADLY STORM;2011-10-16;Brian Michael Bendis and Kelly Sue Deconnick;"In the ABC series, ""Castle,"" the lead character plays an author. This comic book is based on one of his imagined novels.";19.99;2
RIDE STEADY;2015-07-19;Kristen Ashley;A struggling single mom wants to reconnect with her high school sweetheart, now a biker. Will she fit in with the Chaos Motorcycle Club?;nan;1
RIGHT BEHIND YOU;2017-02-19;Lisa Gardner;The former F.B.I. profiler Pierce Quincy and his partner, Rainie Conner, foster a girl whose older brother murdered their drunken father. Now, eight years later, he has killed again.;nan;2
RIN-NE, VOL. 7;2011-11-27;Rumiko Takahashi;Sakura Mamiya is haunted by her ability to see dead people. Her classmate, Rinne Rokudo, can help but only for the right price.;9.99;1
RING OF FIRE;2017-01-29;Brad Taylor;Pike Logan, a member of a secret counterterrorist unit called the Taskforce, investigates a Saudi-backed Moroccan terrorist cell.;nan;1
RISE AND GRIND;2018-03-04;Daymond John with Daniel Paisner;nan;nan;0
RISE OF ISIS;2014-10-05;Jay Sekulow with Jordan Sekulow and others;An examination of the jihadist group and a warning about its dangers.;nan;3
RISING STRONG;2015-09-13;Brené Brown;nan;nan;9
RIVER MARKED;2011-03-20;Patricia Briggs;The shapeshifter Mercy Thompson and her mate, the Alpha werewolf Adam, confront evil lurking in the Columbia River.;26.95;1
RIVER ROAD;2015-02-01;Jayne Ann Krentz;Returning to the California wine country town of Summer River after her aunt’s death, the forensic genealogist Lucy Sheridan makes a shocking discovery.;nan;1
RIVERBEND ROAD;2016-07-10;Raeanne Thayne;Wyn Bailey’s attraction to her boss is mutual but not acted upon. When she is injured, he wants to open up, but his past is an obstacle.;nan;1
ROBERT B. PARKER’S KILLING THE BLUES;2011-10-02;Michael Brandman;Jesse Stone, the chief of police in Paradise, Mass., confronts an outbreak of murders | a continuation of the series by Parker, who died in 2010.;25.95;1
ROBERT MOSES: THE MASTER BUILDER OF NEW YORK CITY;2015-01-18;Pierre Christin and Olivier Balez;This biography chronicles the rise of Robert Moses, the urban planner who shaped New York City in the middle of the 20th century.;nan;2
ROBICHEAUX;2018-01-21;James Lee Burke;A bereaved detective confronts his past and works to clear his name when he becomes a suspect during an investigation into the murder of the man who killed his wife.;nan;1
ROBOTS GO WILD;2015-12-13;James Patterson and Chris Grabenstein;A sequel features a boy and his robot attempting to help a bedridden sister.;nan;5
ROCK WITH WINGS;2016-03-27;Anne Hillerman;Husband-and-wife police officers Chee and Bernie have their hands full with a woman's disappearance and new threats to Navajo lands.;nan;1
ROCKET WRITES A STORY;2012-08-12;Tad Hills;Rocket wants to make a book, but he can’t think of a story idea.;17.99;5
ROCKS;2014-11-02;Joe Perry with David Ritz;A memoir by the Aerosmith guitarist and songwriter.;nan;0
ROD;2012-11-11;Rod Stewart;The pop singer reminisces on his long career.;27.0;2
ROGUE HEROES;2016-11-06;Ben Macintyre;The history of the SAS, Britain's secret special forces unit that sabotaged the Nazis and changed the nature of war.;nan;0
ROGUE KNIGHT;2014-12-07;Brandon Mull;An infamous rebel is upsetting the balance of power in Elloweer.;nan;1
ROGUE LAWYER;2015-11-08;John Grisham;The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.;nan;13
ROLLER GIRL;2016-07-17;Victoria Jamieson;Astrid decides to join a summer roller derby camp before she begins junior high, but can she keep up with the older girls and stay close to her best friend even though they are growing apart?;nan;27
ROLLING BLACKOUTS: DISPATCHES FROM TURKEY, SYRIA AND IRAQ;2016-11-20;Sarah Glidden;The author travels with a team of journalists as they interview civilians and refugees from various war zones.;nan;3
RONAN BOYLE AND THE BRIDGE OF RIDDLES;2019-03-24;Thomas Lennon;Ronan Boyle is recruited to the secret Irish police force of Tir Na Nog.;nan;1
ROOM;2011-06-05;Emma Donoghue;The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.;14.99;51
ROOMHATE;2016-03-06;Penelope Ward;A woman must share an inherited house with the man she dumped long ago.;nan;2
ROSALIE LIGHTNING;2016-01-31;Tom Hart;In this memoir, the author depicts his family’s emotional journey after the death of his daughter.;nan;2
ROSARIO   VAMPIRE: SEASON II, VOL. 1;2010-04-25;Akihisa Ikeda;Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?;9.99;4
ROSARIO + VAMPIRE: SEASON II, VOL. 2;2010-08-22;Akihisa Ikeda;Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?;9.99;4
ROSARIO + VAMPIRE: SEASON II, VOL. 3;2010-12-26;Akihisa Ikeda;Tsukune Aono’s new school is filled with vampires and werewolves. How is a human teenager to survive?;9.99;5
ROSARIO + VAMPIRE: SEASON II, VOL. 4;2011-04-24;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;4
ROSARIO + VAMPIRE: SEASON II, VOL. 5;2011-07-24;Akihisa Ikeda;Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?;9.99;2
ROSARIO VAMPIRE, SEASON II, VOL. 12;2013-10-20;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;nan;1
ROSARIO+VAMPIRE SEASON II, VOL. 11;2013-03-24;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;3
ROSARIO+VAMPIRE SEASON II, VOL. 7;2012-01-22;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;2
ROSARIO+VAMPIRE, SEASON II, VOL. 13;2014-08-24;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;nan;1
ROSARIO+VAMPIRE, SEASON II, VOL. 8;2012-04-22;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;2
ROSARIO+VAMPIRE: SEASON II, VOL. 14;2015-05-24;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;nan;3
ROSARIO+VAMPIRE: SEASON II, VOL. 6;2011-10-23;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;2
ROSARIO+VAMPIRE: SEASON II, VOL. 9;2012-07-22;Akihisa Ikeda;Life in a high school filled with werewolves and vampires continues.;9.99;3
